language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
cpp,comb_delay2,run,vec,double,O3,48000,128,0,1,50,200000,202,0.10246220799999997,512.31104000000005,510.83330000000001,514.78750000000002,3.9542000000000144,0.77183579725317142,4.0024300000000004,4.0024300000000004,249848217.20804617,250570978.83008018,248646286.08892018,249848217.20804617,250570978.83008018,248646286.08892018,-0.49042742140591145
mojo,comb_delay2,run,scalar,double,O3,48000,128,0,1,50,310000,311,0.10097899999982474,325.738709676854,315.1000000343629,329.3999999641528,14.29999992978992,4.390021666131145,2.544833669350422,2.544833669350422,392952990.22637254,406220247.4961634,388585306.66038156,392952990.22637254,406220247.4961634,388585306.66038156,-0.24282970326021314
mojo,comb_delay2,run,vec,double,O3,48000,128,0,1,50,187630,204,0.1007169999998041,536.7851622864366,535.2458141964497,540.4772049099845,5.231390713534779,0.9745781145014643,4.193634080362786,4.193634080362786,238456665.70734546,239142458.6704391,236827749.32444778,238456665.70734546,239142458.6704391,236827749.32444778,-2.0917343722758233
cpp,cubic_distortion,run,scalar,double,O3,48000,128,0,2,50,118050,1000,2.51946358,21342.342905548496,20584.840654608095,21899.364406779659,1314.5237521715644,6.1592288999808913,166.73705394959762,83.368526974798812,5997467.1275065625,6218168.1241892967,5844918.4927199734,11994934.255013125,12436336.248378593,11689836.985439947,-1.9293288704939187
cpp,cubic_distortion,run,vec,double,O3,48000,128,0,2,50,139750,1000,1.6101178359999999,11521.415642218248,11185.564493758668,11923.563019390582,737.99852563191416,6.4054500640324559,90.01105970483006,45.00552985241503,11109745.883219942,11443320.546890734,10735046.209915711,22219491.766439885,22886641.093781468,21470092.419831421,-3.3819581704447046
mojo,cubic_distortion,cubic_distortion,vec,double,O3,48000,128,0,2,50,121250,1000,2.3248090000006414,19173.68247423209,18619.126133312522,19690.082644806087,1070.956511493565,5.585554642061303,149.7943943299382,74.8971971649691,6675817.239177807,6874651.317334814,6500734.522501573,13351634.478355614,13749302.634669628,13001469.045003146,-2.805454184534028
mojo,cubic_distortion,run,scalar,double,O3,48000,128,0,2,50,119350,1000,2.503846000000067,20979.019689987996,20246.57534246592,24057.396928062044,3810.8215855961244,18.164917340798326,163.89859132803122,81.94929566401561,6101333.708223106,6322056.833558812,5320608.891425524,12202667.416446213,12644113.667117624,10641217.782851048,3.555443523800932
mojo,cubic_distortion,run,vec,double,O3,48000,128,0,2,50,143950,1000,1.6267539999998917,11300.826675928385,10389.349930794113,20058.54322665534,9669.193295861227,85.56182280414352,88.28770840569051,44.143854202845255,11326605.006043462,12320308.859807197,6381320.844372373,22653210.012086924,24640617.719614394,12762641.688744746,0.6809832323342562
cpp,custom_bargraph,run,scalar,double,O3,48000,128,1,8,50,480000,480,0.10133558199999999,211.11579583333332,192.09999999999999,226.80000000000001,34.700000000000017,16.436477366854231,1.6493421549479166,0.20616776936848957,606302335.14620757,666319625.19521081,564373897.70723104,4850418681.1696606,5330557001.5616865,4514991181.6578484,29.928000086176326
cpp,custom_bargraph,run,vec,double,O3,48000,128,1,8,50,480000,482,0.10067800100000002,209.74583541666667,204.12910000000002,212.70410000000001,8.5749999999999886,4.0882814111495867,1.6386393391927083,0.20482991739908854,610262414.72553658,627054153.47444332,601774954.03238583,4882099317.8042927,5016433227.7955465,4814199632.2590866,29.928000086176326
